Country,Economy (GDP per Capita),Family,Freedom,Generosity,Happiness Score,Health (Life Expectancy),Overall Rank,Trust (Government Corruption),Year
Jordan,0.991012394428253,1.23908889293671,0.418421149253845,0.172170460224152,5.33599996566772,0.604590058326721,74,0.11980327218771,2017
Hungary,1.2860119342804,1.34313309192657,0.175863519310951,0.0784016624093056,5.32399988174438,0.687763452529907,75,0.0366369374096394,2017
Jamaica,0.925579309463501,1.36821806430817,0.474307239055634,0.233818337321281,5.31099987030029,0.641022384166718,76,0.0552677810192108,2017
Croatia,1.22255623340607,0.96798300743103,0.255772292613983,0.248002976179123,5.29300022125244,0.701288521289825,77,0.0431031100451946,2017
Kosovo,0.951484382152557,1.13785350322723,0.260287940502167,0.319931447505951,5.27899980545044,0.541452050209045,78,0.0574716180562973,2017
China,1.08116579055786,1.16083741188049,0.472787708044052,0.0288068410009146,5.27299976348877,0.741415500640869,79,0.0227942746132612,2017
Pakistan,0.72688353061676,0.672690689563751,0.23521526157856,0.315446019172668,5.26900005340576,0.402047783136368,80,0.124348066747189,2017
Indonesia,0.995538592338562,1.27444469928741,0.443323463201523,0.611704587936401,5.26200008392334,0.492345720529556,81,0.0153171354904771,2017
Venezuela,1.12843120098114,1.43133759498596,0.153997123241425,0.0650196298956871,5.25,0.617144227027893,82,0.0644911229610443,2017
Montenegro,1.12112903594971,1.23837649822235,0.194989055395126,0.197911024093628,5.23699998855591,0.667464673519135,83,0.0881741940975189,2017
Morocco,0.878114581108093,0.774864435195923,0.408158332109451,0.0322099551558495,5.2350001335144,0.59771066904068,84,0.0877631828188896,2017
Azerbaijan,1.15360176563263,1.15240025520325,0.398155838251114,0.0452693402767181,5.23400020599365,0.540775775909424,85,0.180987507104874,2017
Dominican Republic,1.07937383651733,1.40241670608521,0.55258983373642,0.186967849731445,5.23000001907349,0.574873745441437,86,0.113945253193378,2017
Greece,1.28948748111725,1.23941457271576,0.0957312509417534,0.0,5.22700023651123,0.810198903083801,87,0.04328977689147,2017
Lebanon,1.07498753070831,1.12962424755096,0.288515985012054,0.264450758695602,5.22499990463257,0.735081076622009,88,0.037513829767704,2017
Portugal,1.3151752948761,1.36704301834106,0.498465299606323,0.0951027125120163,5.19500017166138,0.795843541622162,89,0.0158694516867399,2017
Bosnia and Herzegovina,0.982409417629242,1.0693359375,0.204403176903725,0.328867495059967,5.18200016021729,0.705186307430267,90,0.0,2017
Honduras,0.730573117733002,1.14394497871399,0.348079860210419,0.236188873648643,5.18100023269653,0.582569479942322,91,0.0733454525470734,2017
Macedonia,1.06457793712616,1.20789301395416,0.325905978679657,0.25376096367836,5.17500019073486,0.644948184490204,92,0.0602777935564518,2017
Somalia,0.0226431842893362,0.721151351928711,0.602126955986023,0.291631311178207,5.15100002288818,0.113989137113094,93,0.282410323619843,2017
Vietnam,0.788547575473785,1.27749133110046,0.571055591106415,0.234968051314354,5.07399988174438,0.652168989181519,94,0.0876332372426987,2017
Nigeria,0.783756256103516,1.21577048301697,0.394952565431595,0.230947196483612,5.07399988174438,0.0569157302379608,95,0.0261215660721064,2017
Tajikistan,0.524713635444641,1.27146327495575,0.471566706895828,0.248997643589973,5.04099988937378,0.529235124588013,96,0.146377146244049,2017
Bhutan,0.885416388511658,1.34012651443481,0.501537680625916,0.474054545164108,5.01100015640259,0.495879292488098,97,0.173380389809608,2017
Kyrgyzstan,0.596220076084137,1.39423859119415,0.454943388700485,0.42858037352562,5.00400018692017,0.553457796573639,98,0.0394391790032387,2017
Nepal,0.479820191860199,1.17928326129913,0.440305948257446,0.394096165895462,4.96199989318848,0.504130780696869,99,0.0729755461215973,2017
Mongolia,1.02723586559296,1.4930112361908,0.394143968820572,0.338464230298996,4.95499992370605,0.557783484458923,100,0.0329022891819477,2017
South Africa,1.05469870567322,1.38478863239288,0.479246735572815,0.139362379908562,4.8289999961853,0.187080070376396,101,0.0725094974040985,2017
Tunisia,1.00726580619812,0.868351459503174,0.289680689573288,0.0496933571994305,4.80499982833862,0.613212049007416,102,0.0867231488227844,2017
Palestinian Territories,0.716249227523804,1.15564715862274,0.25471106171608,0.114173173904419,4.77500009536743,0.565666973590851,103,0.0892826020717621,2017
Egypt,0.989701807498932,0.997471392154694,0.282110154628754,0.128631442785263,4.7350001335144,0.520187258720398,104,0.114381365478039,2017
Bulgaria,1.1614590883255,1.43437945842743,0.289231717586517,0.113177694380283,4.71400022506714,0.708217680454254,105,0.0110515309497714,2017
Sierra Leone,0.36842092871666,0.984136044979095,0.318697690963745,0.293040901422501,4.70900011062622,0.0055647538974881,106,0.0710951760411263,2017
Cameroon,0.564305365085602,0.946018218994141,0.430388748645782,0.236298456788063,4.69500017166138,0.132892116904259,107,0.0513066314160824,2017
Iran,1.15687310695648,0.711551249027252,0.249322608113289,0.387242913246155,4.69199991226196,0.639333188533783,108,0.048761073499918,2017
Albania,0.996192753314972,0.803685247898102,0.381498634815216,0.201312944293022,4.64400005340576,0.731159746646881,109,0.0398642159998417,2017
Bangladesh,0.586682975292206,0.735131740570068,0.478356659412384,0.172255352139473,4.60799980163574,0.533241033554077,110,0.123717859387398,2017
Namibia,0.964434325695038,1.0984708070755,0.520303547382355,0.0771337449550629,4.57399988174438,0.33861181139946,111,0.0931469723582268,2017
Kenya,0.560479462146759,1.06795072555542,0.452763766050339,0.444860309362411,4.55299997329712,0.309988349676132,112,0.0646413192152977,2017
Mozambique,0.234305649995804,0.870701014995575,0.480791091918945,0.322228103876114,4.55000019073486,0.106654435396194,113,0.179436385631561,2017
Myanmar,0.367110550403595,1.12323594093323,0.514492034912109,0.838075160980225,4.54500007629395,0.397522568702698,114,0.188816204667091,2017
Senegal,0.479309022426605,1.17969191074371,0.377922266721725,0.183468893170357,4.53499984741211,0.409362852573395,115,0.115460447967052,2017
Zambia,0.636406779289246,1.00318729877472,0.461603492498398,0.249580144882202,4.51399993896484,0.257835894823074,116,0.0782135501503944,2017
Iraq,1.10271048545837,0.978613197803497,0.288555532693863,0.19963726401329,4.49700021743774,0.501180469989777,117,0.107215754687786,2017
Gabon,1.1982102394104,1.1556202173233,0.312328577041626,0.0437853783369064,4.46500015258789,0.356578588485718,118,0.0760467872023582,2017
Ethiopia,0.339233845472336,0.86466920375824,0.408842742443085,0.312650740146637,4.46000003814697,0.353409707546234,119,0.165455713868141,2017
Sri Lanka,1.00985014438629,1.25997638702393,0.561213254928589,0.490863561630249,4.44000005722046,0.625130832195282,120,0.0736539661884308,2017
Armenia,0.900596737861633,1.00748372077942,0.198303267359734,0.0834880918264389,4.37599992752075,0.637524425983429,121,0.0266744215041399,2017
India,0.792221248149872,0.754372596740723,0.469987004995346,0.231538489460945,4.31500005722046,0.455427616834641,122,0.0922268852591515,2017
Mauritania,0.648457288742065,1.2720308303833,0.0960980430245399,0.201870024204254,4.29199981689453,0.285349279642105,123,0.136957004666328,2017
Congo (Brazzaville),0.808964252471924,0.832044363021851,0.435025870800018,0.120852127671242,4.29099988937378,0.28995743393898,124,0.0796181336045265,2017
Georgia,0.950612664222717,0.57061493396759,0.309410035610199,0.0540088154375553,4.28599977493286,0.649546980857849,125,0.251666635274887,2017
Congo (Kinshasa),0.0921023488044739,1.22902345657349,0.235961347818375,0.246455833315849,4.28000020980835,0.191407024860382,126,0.0602413564920425,2017
Mali,0.476180493831635,1.28147339820862,0.306613743305206,0.183354198932648,4.19000005722046,0.169365674257278,127,0.104970246553421,2017
Ivory Coast,0.603048920631409,0.904780030250549,0.447706192731857,0.201237469911575,4.17999982833862,0.0486421696841717,128,0.130061775445938,2017
Cambodia,0.601765096187592,1.00623834133148,0.633375823497772,0.385922968387604,4.16800022125244,0.429783403873444,129,0.0681059509515762,2017
Sudan,0.65951669216156,1.21400856971741,0.0149958552792668,0.182317450642586,4.13899993896484,0.290920823812485,130,0.089847519993782,2017
Ghana,0.667224824428558,0.873664736747742,0.423026293516159,0.256923943758011,4.11999988555908,0.295637726783752,131,0.0253363698720932,2017
Ukraine,0.89465194940567,1.39453756809235,0.122974775731564,0.270061463117599,4.09600019454956,0.575903952121735,132,0.0230294708162546,2017
Uganda,0.381430715322495,1.12982773780823,0.443185955286026,0.325766056776047,4.08099985122681,0.217632606625557,133,0.057069718837738,2017
Burkina Faso,0.3502277135849,1.04328000545502,0.324367851018906,0.250864684581757,4.03200006484985,0.215844258666039,134,0.120328105986118,2017
Niger,0.161925330758095,0.993025004863739,0.36365869641304,0.228673845529556,4.02799987792969,0.26850500702858,135,0.138572946190834,2017
Malawi,0.233442038297653,0.512568831443787,0.466914653778076,0.287170469760895,3.97000002861023,0.315089583396912,136,0.0727116540074348,2017
Chad,0.438012987375259,0.953855872154236,0.16234202682972,0.216113850474358,3.93600010871887,0.0411347150802612,137,0.0535818822681904,2017
Zimbabwe,0.375846534967422,1.08309590816498,0.336384207010269,0.189143493771553,3.875,0.196763753890991,138,0.0953753814101219,2017
Lesotho,0.521021246910095,1.19009518623352,0.390661299228668,0.157497271895409,3.80800008773804,0.0,139,0.119094640016556,2017
Angola,0.858428180217743,1.10441195964813,0.0,0.097926490008831,3.79500007629395,0.0498686656355858,140,0.0697203353047371,2017
Afghanistan,0.401477217674255,0.581543326377869,0.106179520487785,0.311870932579041,3.79399991035461,0.180746778845787,141,0.0611578300595284,2017
Botswana,1.12209415435791,1.22155499458313,0.505196332931519,0.0993484482169151,3.76600003242493,0.341755509376526,142,0.0985831990838051,2017
Benin,0.431085407733917,0.435299843549728,0.425962775945663,0.207948461174965,3.65700006484985,0.209930211305618,143,0.0609290152788162,2017
Madagascar,0.305808693170547,0.913020372390747,0.189196765422821,0.208732530474663,3.64400005340576,0.375223308801651,144,0.0672319754958153,2017
Haiti,0.368610262870789,0.640449821949005,0.0303698573261499,0.489203780889511,3.6029999256134,0.277321130037308,145,0.0998721495270729,2017
Yemen,0.591683447360992,0.93538224697113,0.249463722109795,0.104125209152699,3.59299993515015,0.310080915689468,146,0.0567674227058887,2017
South Sudan,0.39724862575531,0.601323127746582,0.147062435746193,0.285670816898346,3.59100008010864,0.163486003875732,147,0.116793513298035,2017
Liberia,0.119041793048382,0.872117936611176,0.332881182432175,0.26654988527298,3.53299999237061,0.229918196797371,148,0.0389482490718365,2017
Guinea,0.244549930095673,0.791244685649872,0.348587512969971,0.264815092086792,3.50699996948242,0.194129139184952,149,0.110937617719173,2017
Togo,0.305444717407227,0.431882530450821,0.38042613863945,0.196896150708199,3.49499988555908,0.247105568647385,150,0.0956650152802467,2017
Rwanda,0.368745893239975,0.945707023143768,0.581843852996826,0.252756029367447,3.47099995613098,0.326424807310104,151,0.455220013856888,2017
Syria,0.777153134346008,0.396102607250214,0.0815394446253777,0.493663728237152,3.46199989318848,0.50053334236145,152,0.151347130537033,2017
Tanzania,0.511135876178741,1.04198980331421,0.390017777681351,0.354256361722946,3.34899997711182,0.364509284496307,153,0.0660351067781448,2017
Burundi,0.091622568666935,0.629793584346771,0.0599007532000542,0.204435184597969,2.90499997138977,0.151610791683197,154,0.0841479450464249,2017
Central African Republic,0.0,0.0,0.270842045545578,0.280876487493515,2.69300007820129,0.0187726859003305,155,0.0565650761127472,2017
