Country,Economy (GDP per Capita),Family,Freedom,Generosity,Happiness Score,Health (Life Expectancy),Overall Rank,Trust (Government Corruption),Year
Uzbekistan,0.719,1.584,0.724,0.328,6.096,0.605,44,0.259,2018
Kuwait,1.474,1.301,0.554,0.167,6.083,0.675,45,0.106,2018
Thailand,1.016,1.417,0.637,0.364,6.072,0.707,46,0.029,2018
Italy,1.264,1.501,0.281,0.137,6.0,0.946,47,0.028,2018
Ecuador,0.889,1.33,0.556,0.114,5.973,0.736,48,0.12,2018
Belize,0.807,1.101,0.593,0.183,5.956,0.474,49,0.089,2018
Lithuania,1.197,1.527,0.35,0.026,5.952,0.716,50,0.006,2018
Slovenia,1.219,1.506,0.633,0.16,5.948,0.856,51,0.051,2018
Romania,1.116,1.219,0.528,0.088,5.945,0.726,52,0.001,2018
Latvia,1.148,1.454,0.363,0.092,5.933,0.671,53,0.066,2018
Japan,1.294,1.462,0.553,0.079,5.915,0.988,54,0.15,2018
Mauritius,1.09,1.387,0.584,0.245,5.891,0.684,55,0.05,2018
Jamaica,0.819,1.493,0.575,0.096,5.89,0.693,56,0.031,2018
South Korea,1.266,1.204,0.244,0.175,5.875,0.955,57,0.051,2018
Northern Cyprus,1.229,1.211,0.495,0.179,5.835,0.909,58,0.154,2018
Russia,1.151,1.479,0.399,0.065,5.81,0.599,59,0.025,2018
Kazakhstan,1.143,1.516,0.454,0.148,5.79,0.631,60,0.121,2018
Cyprus,1.229,1.191,0.423,0.202,5.762,0.909,61,0.035,2018
Bolivia,0.751,1.223,0.606,0.141,5.752,0.508,62,0.054,2018
Estonia,1.2,1.532,0.553,0.086,5.739,0.737,63,0.174,2018
Paraguay,0.835,1.522,0.541,0.162,5.681,0.615,64,0.074,2018
Peru,0.934,1.249,0.53,0.092,5.663,0.674,65,0.034,2018
Kosovo,0.855,1.23,0.448,0.274,5.662,0.578,66,0.023,2018
Moldova,0.657,1.301,0.232,0.171,5.64,0.62,67,0.0,2018
Turkmenistan,1.016,1.533,0.417,0.199,5.636,0.517,68,0.037,2018
Hungary,1.171,1.401,0.259,0.061,5.62,0.732,69,0.022,2018
Libya,0.985,1.35,0.496,0.116,5.566,0.553,70,0.148,2018
Philippines,0.775,1.312,0.643,0.12,5.524,0.513,71,0.105,2018
Honduras,0.62,1.205,0.459,0.197,5.504,0.622,72,0.074,2018
Belarus,1.039,1.498,0.307,0.101,5.483,0.7,73,0.154,2018
Turkey,1.148,1.38,0.324,0.106,5.483,0.686,74,0.109,2018
Pakistan,0.652,0.81,0.334,0.216,5.472,0.424,75,0.113,2018
Hong Kong,1.405,1.29,0.524,0.246,5.43,1.03,76,0.291,2018
Portugal,1.188,1.429,0.562,0.055,5.41,0.884,77,0.017,2018
Serbia,0.975,1.369,0.288,0.134,5.398,0.685,78,0.043,2018
Greece,1.154,1.202,0.131,0.0,5.358,0.879,79,0.044,2018
Lebanon,0.965,1.179,0.503,0.214,5.358,0.785,80,0.136,2018
Montenegro,1.017,1.279,0.259,0.111,5.347,0.729,81,0.081,2018
Croatia,1.115,1.161,0.38,0.12,5.321,0.737,82,0.039,2018
Dominican Republic,0.982,1.441,0.578,0.12,5.302,0.614,83,0.106,2018
Algeria,0.979,1.154,0.077,0.055,5.295,0.687,84,0.135,2018
Morocco,0.779,0.797,0.46,0.026,5.254,0.669,85,0.074,2018
China,0.989,1.142,0.597,0.029,5.246,0.799,86,0.103,2018
Azerbaijan,1.024,1.161,0.43,0.031,5.201,0.603,87,0.176,2018
Tajikistan,0.474,1.166,0.292,0.187,5.199,0.598,88,0.034,2018
Macedonia,0.959,1.239,0.394,0.173,5.185,0.691,89,0.052,2018
Jordan,0.822,1.265,0.468,0.13,5.161,0.645,90,0.134,2018
Nigeria,0.689,1.172,0.462,0.201,5.155,0.048,91,0.032,2018
Kyrgyzstan,0.53,1.416,0.54,0.281,5.131,0.594,92,0.035,2018
Bosnia and Herzegovina,0.915,1.078,0.28,0.216,5.129,0.758,93,0.0,2018
Mongolia,0.914,1.517,0.395,0.253,5.125,0.575,94,0.032,2018
Vietnam,0.715,1.365,0.618,0.177,5.103,0.702,95,0.079,2018
Indonesia,0.899,1.215,0.538,0.484,5.093,0.522,96,0.018,2018
Bhutan,0.796,1.335,0.541,0.364,5.082,0.527,97,0.171,2018
Somalia,0.0,0.712,0.674,0.238,4.982,0.115,98,0.282,2018
Cameroon,0.535,0.891,0.454,0.183,4.975,0.182,99,0.043,2018
Bulgaria,1.054,1.515,0.359,0.064,4.933,0.712,100,0.009,2018
Nepal,0.425,1.228,0.526,0.302,4.88,0.539,101,0.078,2018
Venezuela,0.996,1.469,0.133,0.056,4.806,0.657,102,0.052,2018
Gabon,1.036,1.164,0.356,0.032,4.758,0.404,103,0.052,2018
Palestinian Territories,0.642,1.217,0.266,0.086,4.743,0.602,104,0.076,2018
South Africa,0.94,1.41,0.516,0.103,4.724,0.33,105,0.056,2018
Iran,1.059,0.771,0.459,0.282,4.707,0.691,106,0.129,2018
Ivory Coast,0.541,0.872,0.467,0.146,4.671,0.08,107,0.103,2018
Ghana,0.592,0.896,0.499,0.212,4.657,0.337,108,0.029,2018
Senegal,0.429,1.117,0.406,0.138,4.631,0.433,109,0.082,2018
Laos,0.72,1.034,0.626,0.23,4.623,0.441,110,0.174,2018
Tunisia,0.9,0.906,0.271,0.04,4.592,0.69,111,0.063,2018
Albania,0.916,0.817,0.419,0.149,4.586,0.79,112,0.032,2018
Sierra Leone,0.256,0.813,0.355,0.238,4.571,0.0,113,0.053,2018
Congo (Brazzaville),0.682,0.811,0.514,0.091,4.559,0.343,114,0.077,2018
Bangladesh,0.532,0.85,0.58,0.153,4.5,0.579,115,0.144,2018
Sri Lanka,0.918,1.314,0.585,0.307,4.471,0.672,116,0.05,2018
Iraq,1.01,0.971,0.304,0.148,4.456,0.536,117,0.095,2018
Mali,0.37,1.233,0.367,0.139,4.447,0.152,118,0.056,2018
Namibia,0.874,1.281,0.519,0.051,4.441,0.365,119,0.064,2018
Cambodia,0.549,1.088,0.696,0.256,4.433,0.457,120,0.065,2018
Burkina Faso,0.314,1.097,0.312,0.175,4.424,0.254,121,0.128,2018
Egypt,0.885,1.025,0.312,0.092,4.419,0.553,122,0.107,2018
Mozambique,0.198,0.902,0.531,0.206,4.417,0.173,123,0.158,2018
Kenya,0.493,1.048,0.504,0.352,4.41,0.454,124,0.055,2018
Zambia,0.562,1.047,0.503,0.221,4.377,0.295,125,0.082,2018
Mauritania,0.557,1.245,0.129,0.134,4.356,0.292,126,0.093,2018
Ethiopia,0.308,0.95,0.452,0.22,4.35,0.391,127,0.146,2018
Georgia,0.853,0.592,0.375,0.038,4.34,0.643,128,0.215,2018
Armenia,0.816,0.99,0.26,0.077,4.321,0.666,129,0.028,2018
Myanmar,0.682,1.174,0.58,0.598,4.308,0.429,130,0.178,2018
Chad,0.358,0.907,0.189,0.181,4.301,0.053,131,0.06,2018
Congo (Kinshasa),0.069,1.136,0.312,0.197,4.245,0.204,132,0.052,2018
India,0.721,0.747,0.539,0.172,4.19,0.485,133,0.093,2018
Niger,0.131,0.867,0.39,0.175,4.166,0.221,134,0.099,2018
Uganda,0.322,1.09,0.45,0.259,4.161,0.237,135,0.061,2018
Benin,0.378,0.372,0.44,0.163,4.141,0.24,136,0.067,2018
Sudan,0.605,1.24,0.016,0.134,4.139,0.312,137,0.082,2018
Ukraine,0.793,1.413,0.163,0.187,4.103,0.609,138,0.011,2018
Togo,0.259,0.474,0.434,0.158,3.999,0.253,139,0.101,2018
Guinea,0.344,0.792,0.394,0.185,3.964,0.211,140,0.094,2018
Lesotho,0.472,1.215,0.423,0.116,3.808,0.079,141,0.112,2018
Angola,0.73,1.125,0.0,0.079,3.795,0.269,142,0.061,2018
Madagascar,0.262,0.908,0.221,0.155,3.774,0.402,143,0.049,2018
Zimbabwe,0.357,1.094,0.406,0.132,3.692,0.248,144,0.099,2018
Afghanistan,0.332,0.537,0.085,0.191,3.632,0.255,145,0.036,2018
Botswana,1.017,1.174,0.557,0.042,3.59,0.417,146,0.092,2018
Malawi,0.186,0.541,0.531,0.21,3.587,0.306,147,0.08,2018
Haiti,0.315,0.714,0.025,0.392,3.582,0.289,148,0.104,2018
Liberia,0.076,0.858,0.419,0.206,3.495,0.267,149,0.03,2018
Syria,0.689,0.382,0.088,0.376,3.462,0.539,150,0.144,2018
Rwanda,0.332,0.896,0.636,0.2,3.408,0.4,151,0.444,2018
Yemen,0.442,1.073,0.244,0.083,3.355,0.343,152,0.064,2018
Tanzania,0.455,0.991,0.481,0.27,3.303,0.381,153,0.097,2018
South Sudan,0.337,0.608,0.112,0.224,3.254,0.177,154,0.106,2018
Central African Republic,0.024,0.0,0.305,0.218,3.083,0.01,155,0.038,2018
Burundi,0.091,0.627,0.065,0.149,2.905,0.145,156,0.076,2018
