Country,Economy (GDP per Capita),Family,Freedom,Generosity,Happiness Score,Health (Life Expectancy),Overall Rank,Trust (Government Corruption),Year
Kazakhstan,1.173,1.508,0.41,0.146,5.809,0.729,60,0.096,2019
Bolivia,0.776,1.209,0.511,0.137,5.779,0.706,61,0.064,2019
Hungary,1.201,1.41,0.199,0.081,5.758,0.828,62,0.02,2019
Paraguay,0.855,1.475,0.514,0.184,5.743,0.777,63,0.08,2019
Northern Cyprus,1.263,1.252,0.417,0.191,5.718,1.042,64,0.162,2019
Peru,0.96,1.274,0.455,0.083,5.697,0.854,65,0.027,2019
Portugal,1.221,1.431,0.508,0.047,5.693,0.999,66,0.025,2019
Pakistan,0.677,0.886,0.313,0.22,5.653,0.535,67,0.098,2019
Russia,1.183,1.452,0.334,0.082,5.648,0.726,68,0.031,2019
Philippines,0.807,1.293,0.558,0.117,5.631,0.657,69,0.107,2019
Serbia,1.004,1.383,0.282,0.137,5.603,0.854,70,0.039,2019
Moldova,0.685,1.328,0.245,0.181,5.529,0.739,71,0.0,2019
Libya,1.044,1.303,0.416,0.133,5.525,0.673,72,0.152,2019
Montenegro,1.051,1.361,0.197,0.142,5.523,0.871,73,0.08,2019
Tajikistan,0.493,1.098,0.389,0.23,5.467,0.718,74,0.144,2019
Croatia,1.155,1.266,0.296,0.119,5.432,0.914,75,0.022,2019
Hong Kong,1.438,1.277,0.44,0.258,5.43,1.122,76,0.287,2019
Dominican Republic,1.015,1.401,0.497,0.113,5.425,0.779,77,0.101,2019
Bosnia and Herzegovina,0.945,1.212,0.212,0.263,5.386,0.845,78,0.006,2019
Turkey,1.183,1.36,0.195,0.083,5.373,0.808,79,0.106,2019
Malaysia,1.221,1.171,0.508,0.26,5.339,0.828,80,0.024,2019
Belarus,1.067,1.465,0.235,0.094,5.323,0.789,81,0.142,2019
Greece,1.181,1.156,0.067,0.0,5.287,0.999,82,0.034,2019
Mongolia,0.948,1.531,0.317,0.235,5.285,0.667,83,0.038,2019
North Macedonia,0.983,1.294,0.345,0.185,5.274,0.838,84,0.034,2019
Nigeria,0.696,1.111,0.426,0.215,5.265,0.245,85,0.041,2019
Kyrgyzstan,0.551,1.438,0.508,0.3,5.261,0.723,86,0.023,2019
Turkmenistan,1.052,1.538,0.394,0.244,5.247,0.657,87,0.028,2019
Algeria,1.002,1.16,0.086,0.073,5.211,0.785,88,0.114,2019
Morocco,0.801,0.782,0.418,0.036,5.208,0.782,89,0.076,2019
Azerbaijan,1.043,1.147,0.351,0.035,5.208,0.769,90,0.182,2019
Lebanon,0.987,1.224,0.216,0.166,5.197,0.815,91,0.027,2019
Indonesia,0.931,1.203,0.491,0.498,5.192,0.66,92,0.028,2019
China,1.029,1.125,0.521,0.058,5.191,0.893,93,0.1,2019
Vietnam,0.741,1.346,0.543,0.147,5.175,0.851,94,0.073,2019
Bhutan,0.813,1.321,0.457,0.37,5.082,0.604,95,0.167,2019
Cameroon,0.549,0.91,0.381,0.187,5.044,0.331,96,0.037,2019
Bulgaria,1.092,1.513,0.311,0.081,5.011,0.815,97,0.004,2019
Ghana,0.611,0.868,0.381,0.245,4.996,0.486,98,0.04,2019
Ivory Coast,0.569,0.808,0.352,0.154,4.944,0.232,99,0.09,2019
Nepal,0.446,1.226,0.439,0.285,4.913,0.677,100,0.089,2019
Jordan,0.837,1.225,0.383,0.11,4.906,0.815,101,0.13,2019
Benin,0.393,0.437,0.349,0.175,4.883,0.397,102,0.082,2019
Congo (Brazzaville),0.673,0.799,0.372,0.105,4.812,0.508,103,0.093,2019
Gabon,1.057,1.183,0.295,0.043,4.799,0.571,104,0.055,2019
Laos,0.764,1.03,0.547,0.266,4.796,0.551,105,0.164,2019
South Africa,0.96,1.351,0.389,0.13,4.722,0.469,106,0.055,2019
Albania,0.947,0.848,0.383,0.178,4.719,0.874,107,0.027,2019
Venezuela,0.96,1.427,0.154,0.064,4.707,0.805,108,0.047,2019
Cambodia,0.574,1.122,0.609,0.232,4.7,0.637,109,0.062,2019
Palestinian Territories,0.657,1.247,0.225,0.103,4.696,0.672,110,0.066,2019
Senegal,0.45,1.134,0.292,0.153,4.681,0.571,111,0.072,2019
Somalia,0.0,0.698,0.559,0.243,4.668,0.268,112,0.27,2019
Namibia,0.879,1.313,0.401,0.07,4.639,0.477,113,0.056,2019
Niger,0.138,0.774,0.318,0.188,4.628,0.366,114,0.102,2019
Burkina Faso,0.331,1.056,0.255,0.177,4.587,0.38,115,0.113,2019
Armenia,0.85,1.055,0.283,0.095,4.559,0.815,116,0.064,2019
Iran,1.1,0.842,0.305,0.27,4.548,0.785,117,0.125,2019
Guinea,0.38,0.829,0.332,0.207,4.534,0.375,118,0.086,2019
Georgia,0.886,0.666,0.346,0.043,4.519,0.752,119,0.164,2019
Gambia,0.308,0.939,0.382,0.269,4.516,0.428,120,0.167,2019
Kenya,0.512,0.983,0.431,0.372,4.509,0.581,121,0.053,2019
Mauritania,0.57,1.167,0.066,0.106,4.49,0.489,122,0.088,2019
Mozambique,0.204,0.986,0.494,0.197,4.466,0.39,123,0.138,2019
Tunisia,0.921,1.0,0.167,0.059,4.461,0.815,124,0.055,2019
Bangladesh,0.562,0.928,0.527,0.166,4.456,0.723,125,0.143,2019
Iraq,1.043,0.98,0.241,0.148,4.437,0.574,126,0.089,2019
Congo (Kinshasa),0.094,1.125,0.269,0.212,4.418,0.357,127,0.053,2019
Mali,0.385,1.105,0.327,0.153,4.39,0.308,128,0.052,2019
Sierra Leone,0.268,0.841,0.309,0.252,4.374,0.242,129,0.045,2019
Sri Lanka,0.949,1.265,0.47,0.244,4.366,0.831,130,0.047,2019
Myanmar,0.71,1.181,0.525,0.566,4.36,0.555,131,0.172,2019
Chad,0.35,0.766,0.174,0.198,4.35,0.192,132,0.078,2019
Ukraine,0.82,1.39,0.178,0.187,4.332,0.739,133,0.01,2019
Ethiopia,0.336,1.033,0.344,0.209,4.286,0.532,134,0.1,2019
Swaziland,0.811,1.149,0.313,0.074,4.212,0.0,135,0.135,2019
Uganda,0.332,1.069,0.356,0.252,4.189,0.443,136,0.06,2019
Egypt,0.913,1.039,0.241,0.076,4.166,0.644,137,0.067,2019
Zambia,0.578,1.058,0.431,0.247,4.107,0.426,138,0.087,2019
Togo,0.275,0.572,0.293,0.177,4.085,0.41,139,0.085,2019
India,0.755,0.765,0.498,0.2,4.015,0.588,140,0.085,2019
Liberia,0.073,0.922,0.37,0.233,3.975,0.443,141,0.033,2019
Comoros,0.274,0.757,0.142,0.275,3.973,0.505,142,0.078,2019
Madagascar,0.274,0.916,0.148,0.169,3.933,0.555,143,0.041,2019
Lesotho,0.489,1.169,0.359,0.107,3.802,0.168,144,0.093,2019
Burundi,0.046,0.447,0.22,0.176,3.775,0.38,145,0.18,2019
Zimbabwe,0.366,1.114,0.361,0.151,3.663,0.433,146,0.089,2019
Haiti,0.323,0.688,0.026,0.419,3.597,0.449,147,0.11,2019
Botswana,1.041,1.145,0.455,0.025,3.488,0.538,148,0.1,2019
Syria,0.619,0.378,0.013,0.331,3.462,0.44,149,0.141,2019
Malawi,0.191,0.56,0.443,0.218,3.41,0.495,150,0.089,2019
Yemen,0.287,1.163,0.143,0.108,3.38,0.463,151,0.077,2019
Rwanda,0.359,0.711,0.555,0.217,3.334,0.614,152,0.411,2019
Tanzania,0.476,0.885,0.417,0.276,3.231,0.499,153,0.147,2019
Afghanistan,0.35,0.517,0.0,0.158,3.203,0.361,154,0.025,2019
Central African Republic,0.026,0.0,0.225,0.235,3.083,0.105,155,0.035,2019
South Sudan,0.306,0.575,0.01,0.202,2.853,0.295,156,0.091,2019
